participant_id,frame,t_l,m_s_cat,p_ll,m_s
1,delay,2,below_ip,1,38.08
1,delay,2,at_ip,1,38.42
1,delay,2,above_ip,1,38.760000000000005
1,delay,4,below_ip,1,39.1
1,delay,4,at_ip,1,39.78
1,delay,4,above_ip,0.5,40.46
1,delay,8,below_ip,1,37.4
1,delay,8,at_ip,0.6666666666666666,38.42
1,delay,8,above_ip,0.5,39.440000000000005
1,delay,16,below_ip,1,33.660000000000004
1,delay,16,at_ip,0.75,35.02
1,delay,16,above_ip,1,36.38
1,delay,32,below_ip,1,33.32
1,delay,32,at_ip,0.25,35.02
1,delay,32,above_ip,0,36.720000000000006
1,delay,64,below_ip,1,27.54
1,delay,64,at_ip,1,29.58
1,delay,64,above_ip,0.5,31.619999999999997
1,delay,128,below_ip,1,19.040000000000003
1,delay,128,at_ip,1,21.42
1,delay,128,above_ip,1,23.8
1,date,2,below_ip,1,38.08
1,date,2,at_ip,0.75,38.42
1,date,2,above_ip,1,38.760000000000005
1,date,4,below_ip,1,39.1
1,date,4,at_ip,1,39.78
1,date,4,above_ip,1,40.46
1,date,8,below_ip,1,37.4
1,date,8,at_ip,1,38.42
1,date,8,above_ip,1,39.440000000000005
1,date,16,below_ip,1,33.660000000000004
1,date,16,at_ip,1,35.02
1,date,16,above_ip,1,36.38
1,date,32,below_ip,1,33.32
1,date,32,at_ip,0.75,35.02
1,date,32,above_ip,1,36.720000000000006
1,date,64,below_ip,0.75,27.54
1,date,64,at_ip,1,29.58
1,date,64,above_ip,0.75,31.619999999999997
1,date,128,below_ip,1,19.040000000000003
1,date,128,at_ip,1,21.42
1,date,128,above_ip,1,23.8
